epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0936,1.81452,8.2893,0.98276,0.72245,0.82393,0.80846,0.44192,1.57373,1.02334,0.98431,0.000662447,0.000662447,0.000662447
2,33.2729,1.72172,1.20493,0.98562,0.75318,0.82659,0.84104,0.46288,1.57883,1.0145,1.01309,0.0013028,0.0013028,0.0013028
3,45.3889,1.66242,1.07995,0.99108,0.80592,0.79676,0.86523,0.43297,1.71475,0.99123,1.02423,0.00191675,0.00191675,0.00191675
4,57.4212,1.63432,1.0059,0.95696,0.814,0.79033,0.86913,0.52069,1.48601,0.88554,0.99318,0.0018812,0.0018812,0.0018812
5,69.525,1.57712,0.9398,0.95785,0.82043,0.82167,0.88107,0.53024,1.43244,0.83966,0.93903,0.0018416,0.0018416,0.0018416
6,81.6788,1.47729,0.86645,0.94174,0.83575,0.88488,0.90804,0.53757,1.39959,0.8699,0.94303,0.001802,0.001802,0.001802
7,94.0758,1.40874,0.82477,0.91025,0.8698,0.8623,0.92496,0.6114,1.2059,0.73161,0.8863,0.0017624,0.0017624,0.0017624
8,106.179,1.41866,0.7987,0.90319,0.87422,0.87857,0.92594,0.6334,1.20943,0.71267,0.91041,0.0017228,0.0017228,0.0017228
9,118.265,1.35215,0.74562,0.89519,0.85585,0.85776,0.90186,0.59294,1.25672,0.75976,0.89825,0.0016832,0.0016832,0.0016832
10,130.402,1.31447,0.74695,0.87951,0.89812,0.89551,0.94242,0.63884,1.19453,0.69337,0.87257,0.0016436,0.0016436,0.0016436
11,142.513,1.29382,0.71849,0.86367,0.89908,0.87585,0.93693,0.60257,1.25348,0.71136,0.892,0.001604,0.001604,0.001604
12,154.559,1.29242,0.71339,0.86366,0.8826,0.92551,0.94435,0.64494,1.16234,0.65778,0.87826,0.0015644,0.0015644,0.0015644
13,166.682,1.24961,0.67049,0.85971,0.908,0.91346,0.95446,0.68887,1.0716,0.61366,0.8493,0.0015248,0.0015248,0.0015248
14,178.843,1.21821,0.65392,0.84984,0.92139,0.93454,0.96929,0.68491,1.08483,0.60044,0.84776,0.0014852,0.0014852,0.0014852
15,190.906,1.24632,0.66795,0.85891,0.89451,0.88939,0.94999,0.66424,1.16059,0.63567,0.86227,0.0014456,0.0014456,0.0014456
16,202.992,1.23172,0.68738,0.862,0.88311,0.92096,0.9491,0.67566,1.08734,0.609,0.85153,0.001406,0.001406,0.001406
17,215.067,1.1721,0.64146,0.84807,0.91755,0.93002,0.9704,0.68446,1.07865,0.58007,0.84044,0.0013664,0.0013664,0.0013664
18,227.086,1.19032,0.64207,0.85763,0.89582,0.93905,0.95738,0.67591,1.07518,0.61555,0.83775,0.0013268,0.0013268,0.0013268
19,239.198,1.20002,0.65101,0.84824,0.90814,0.91495,0.9602,0.67353,1.09027,0.61526,0.8498,0.0012872,0.0012872,0.0012872
20,251.677,1.122,0.60362,0.83795,0.9345,0.93905,0.97213,0.7094,1.02419,0.55932,0.82809,0.0012476,0.0012476,0.0012476
21,264.111,1.16627,0.60602,0.84095,0.94299,0.93339,0.9758,0.71946,1.00431,0.53319,0.8311,0.001208,0.001208,0.001208
22,276.279,1.1408,0.61935,0.83948,0.90981,0.95034,0.96806,0.70977,1.00024,0.54899,0.83579,0.0011684,0.0011684,0.0011684
23,288.457,1.13207,0.58658,0.82948,0.9517,0.93406,0.97073,0.69252,1.04188,0.54499,0.83497,0.0011288,0.0011288,0.0011288
24,300.897,1.18468,0.60551,0.83856,0.92505,0.91938,0.9692,0.71186,1.00761,0.5399,0.83206,0.0010892,0.0010892,0.0010892
25,313.279,1.08464,0.58013,0.8338,0.91093,0.92339,0.9673,0.70729,1.01566,0.54475,0.84022,0.0010496,0.0010496,0.0010496
26,325.835,1.10563,0.58478,0.8289,0.91669,0.91896,0.96788,0.70821,1.00283,0.53721,0.83058,0.00101,0.00101,0.00101
27,338.408,1.09082,0.57581,0.82379,0.9205,0.94131,0.97082,0.70836,0.98055,0.53186,0.82216,0.0009704,0.0009704,0.0009704
28,350.675,1.07412,0.56799,0.8199,0.93986,0.95252,0.97964,0.743,0.93485,0.5101,0.82135,0.0009308,0.0009308,0.0009308
